Incident_ID,Type,Category,Priority,Description,Affected_Users,Location,Technician_Name,Technician_Email,Manager_Name,Manager_Email,Created_Date,Response_Date,Resolved_Date,Response_Hours,Resolution_Hours,SLA_Target_Hours,SLA_Breached,Steps_Required,Steps_Completed,Missing_Steps,Reassignment_Count,Knowledge_Article_Created,Customer_Satisfaction,Business_Impact,Root_Cause
INC100000,Incident,Database,Medium,Database issue - Data corruption,75,Delhi,Vikram Singh,rammohan3975@gmail.com,Rammohan Davala,davala.rammohan@cognizant.com,2025-09-27 13:17:48,2025-09-27 20:48:07,2025-09-29 05:01:43,7.51,39.73,48,No,Initial Assessment | Query Analysis | Performance Check | Backup Verification | Fix Implementation | Data Validation | Documentation | Closure,Initial Assessment | Query Analysis | Performance Check | Backup Verification | Fix Implementation | Data Validation | Documentation | Closure,None,0,No,Satisfied,Database problem impacting 75 users - workaround available,Security vulnerability
INC100001,Incident,Network,Critical,Network issue - System failure,1708,Pune,Suresh Iyer,rammohan3975@gmail.com,Rammohan Davala,davala.rammohan@cognizant.com,2025-10-04 01:17:48,2025-10-04 01:29:36,2025-10-04 04:39:53,0.2,3.37,4,No,Initial Assessment | Network Diagnostics | Root Cause Analysis | Solution Implementation | Testing | Documentation | Closure,Documentation | Closure | Solution Implementation,Initial Assessment | Network Diagnostics | Root Cause Analysis | Testing,0,No,Satisfied,Network system completely down - 1708 users cannot work,Third-party service failure
INC100002,Incident,Database,High,Database issue - Data corruption,201,Bangalore,Suresh Iyer,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-14 03:17:48,2025-10-14 04:47:07,2025-10-14 09:47:56,1.49,6.5,12,No,Initial Assessment | Query Analysis | Performance Check | Backup Verification | Fix Implementation | Data Validation | Documentation | Closure,Initial Assessment | Query Analysis | Performance Check | Backup Verification | Fix Implementation | Data Validation | Documentation | Closure,None,0,No,Very Satisfied,Significant Database issues affecting 201 users - degraded service,Hardware failure
INC100003,Incident,Network,High,Network issue - Access issue,487,Mumbai,Deepa Menon,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-20 05:17:48,2025-10-20 06:44:30,2025-10-20 10:22:21,1.44,5.08,12,No,Initial Assessment | Network Diagnostics | Root Cause Analysis | Solution Implementation | Testing | Documentation | Closure,Initial Assessment | Network Diagnostics | Root Cause Analysis | Solution Implementation | Testing | Documentation | Closure,None,0,Yes,Satisfied,Significant Network issues affecting 487 users - degraded service,Software bug
INC100004,Incident,Hardware,Low,Hardware issue - Service unavailable,10,Delhi,Vikram Singh,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-21 12:17:48,2025-10-21 14:01:02,2025-10-27 15:13:17,1.72,146.92,96,Yes,Initial Assessment | Hardware Diagnostics | Component Testing | Replacement/Repair | System Testing | Documentation | Closure,Initial Assessment | Hardware Diagnostics | Component Testing | Replacement/Repair | System Testing | Documentation | Closure,None,0,No,Very Satisfied,Minor Hardware issue - 10 users affected minimally,Capacity limit reached
INC100005,Incident,Application,Low,Application issue - Performance degradation,17,Delhi,Sneha Reddy,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-06 14:17:48,2025-10-06 15:49:27,2025-10-16 02:11:14,1.53,227.89,96,Yes,Initial Assessment | Code Review | Bug Identification | Fix Implementation | Testing | Deployment | User Validation | Closure,Bug Identification | Initial Assessment | Code Review | User Validation | Deployment | Fix Implementation,Testing | Closure,0,Yes,Satisfied,Minor Application issue - 17 users affected minimally,Configuration error
INC100006,Incident,Security,High,Security issue - Service unavailable,347,Kolkata,Amit Patel,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-21 18:17:48,2025-10-21 19:27:59,2025-10-22 04:04:33,1.17,9.78,12,No,Initial Assessment | Security Scan | Threat Analysis | Patch Implementation | Security Testing | Compliance Verification | Documentation | Closure,Threat Analysis | Initial Assessment | Security Testing,Security Scan | Patch Implementation | Compliance Verification | Documentation | Closure,0,Yes,Satisfied,Significant Security issues affecting 347 users - degraded service,Hardware failure
INC100007,Incident,Database,Medium,Database issue - System failure,85,Hyderabad,Priya Sharma,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-06 16:17:48,2025-10-06 17:52:59,2025-10-11 01:56:06,1.59,105.64,48,Yes,Initial Assessment | Query Analysis | Performance Check | Backup Verification | Fix Implementation | Data Validation | Documentation | Closure,Data Validation | Fix Implementation | Initial Assessment | Performance Check | Documentation,Query Analysis | Backup Verification | Closure,0,No,Dissatisfied,Database problem impacting 85 users - workaround available,Network congestion
INC100008,Incident,Hardware,Critical,Hardware issue - Data corruption,620,Kolkata,Karthik Rao,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-01 03:17:48,2025-10-01 03:31:33,2025-10-01 12:36:51,0.23,9.32,4,Yes,Initial Assessment | Hardware Diagnostics | Component Testing | Replacement/Repair | System Testing | Documentation | Closure,Initial Assessment | Hardware Diagnostics | Component Testing | Replacement/Repair | System Testing | Documentation | Closure,None,0,Yes,Very Satisfied,Hardware system completely down - 620 users cannot work,Configuration error
INC100009,Incident,Network,Medium,Network issue - Data corruption,34,Ahmedabad,Deepa Menon,rammohan3975@gmail.com,Siddhartha Chakraborty,Siddhartha.chakraberty@cognizant.com,2025-10-24 00:17:48,2025-10-24 01:16:43,2025-10-25 05:58:39,0.98,29.68,48,No,Initial Assessment | Network Diagnostics | Root Cause Analysis | Solution Implementation | Testing | Documentation | Closure,Network Diagnostics | Root Cause Analysis | Initial Assessment | Testing,Solution Implementation | Documentation | Closure,0,No,Very Satisfied,Network problem impacting 34 users - workaround available,Human error
